Date,Students,Study_Hours,Data_Used_GB,Weekend,Peak_Users
2026-02-25,303,6.0,146.44,No,165
2026-02-26,427,5.4,211.63,No,312
2026-02-27,308,5.0,354.23,No,260
2026-02-28,355,3.7,207.93,Yes,316
2026-03-01,208,3.1,300.24,Yes,124
2026-03-02,426,2.2,284.51,No,306
2026-03-03,452,3.4,200.02,No,60
2026-03-04,353,2.8,153.15,No,144
2026-03-05,185,3.1,287.32,No,117
2026-03-06,443,2.4,261.13,No,198
2026-03-07,413,4.0,312.41,Yes,129
2026-03-08,160,4.0,218.11,Yes,131
2026-03-09,235,5.4,274.87,No,172
2026-03-10,357,4.9,243.52,No,348
2026-03-11,144,4.7,287.01,No,93
2026-03-12,217,5.5,254.11,No,131
2026-03-13,460,5.4,157.47,No,215
2026-03-14,238,3.1,278.67,Yes,141
2026-03-15,166,2.6,127.86,Yes,112
2026-03-16,275,4.9,266.63,No,99
2026-03-17,133,4.2,276.67,No,74
2026-03-18,483,4.2,231.28,No,426
2026-03-19,237,5.9,134.85,No,199
2026-03-20,320,5.9,212.56,No,139
2026-03-21,291,4.7,344.19,Yes,179
2026-03-22,202,5.1,122.34,Yes,189
2026-03-23,413,2.5,266.81,No,279
2026-03-24,192,5.2,200.04,No,70
2026-03-25,440,5.4,231.82,No,156
2026-03-26,234,3.8,277.1,No,149
2026-03-27,317,3.9,195.06,No,231
2026-03-28,262,2.8,162.51,Yes,145
2026-03-29,169,5.4,211.67,Yes,75
2026-03-30,312,4.1,241.96,No,302
2026-03-31,244,3.2,195.7,No,237
2026-04-01,458,4.9,157.92,No,194
2026-04-02,431,3.4,256.15,No,96
2026-04-03,392,5.7,194.88,No,240
2026-04-04,355,5.7,117.21,Yes,316
2026-04-05,254,2.1,134.74,Yes,168
2026-04-06,154,5.4,347.22,No,124
2026-04-07,241,2.1,250.69,No,217
2026-04-08,314,5.9,123.54,No,183
2026-04-09,250,5.8,114.07,No,241
2026-04-10,152,2.8,323.57,No,106
2026-04-11,361,5.0,127.84,Yes,222
2026-04-12,470,2.8,178.33,Yes,60
2026-04-13,365,5.6,353.47,No,195
2026-04-14,177,4.4,204.42,No,77
2026-04-15,483,5.0,226.64,No,213
2026-04-16,231,2.7,291.02,No,109
2026-04-17,193,5.6,168.0,No,156
2026-04-18,239,4.6,319.69,Yes,213
2026-04-19,443,4.4,328.51,Yes,101
2026-04-20,490,5.5,338.41,No,434
2026-04-21,302,4.0,309.64,No,175
2026-04-22,363,5.1,348.78,No,274
2026-04-23,338,2.6,266.01,No,287
2026-04-24,330,3.7,373.87,No,109
2026-04-25,439,5.8,324.46,Yes,162
2026-04-26,247,2.2,209.27,Yes,188
2026-04-27,221,3.7,297.85,No,106
2026-04-28,375,5.3,153.57,No,225
2026-04-29,222,5.1,167.72,No,94
2026-04-30,390,4.7,125.13,No,100
2026-05-01,233,2.2,245.98,No,192
2026-05-02,224,3.6,157.44,Yes,205
2026-05-03,292,3.9,159.68,Yes,225
2026-05-04,219,2.0,395.87,No,171
2026-05-05,405,2.2,154.19,No,179
2026-05-06,407,4.3,250.73,No,340
2026-05-07,233,4.4,297.65,No,79
2026-05-08,396,5.0,212.25,No,241
2026-05-09,450,5.5,310.88,Yes,125
2026-05-10,185,4.2,114.83,Yes,178
2026-05-11,320,2.1,341.67,No,239
2026-05-12,159,4.7,149.37,No,106
2026-05-13,155,5.9,123.68,No,126
2026-05-14,409,5.3,369.43,No,235
2026-05-15,153,2.9,284.19,No,137
2026-05-16,180,4.2,199.81,Yes,108
2026-05-17,374,4.4,181.76,Yes,165
2026-05-18,425,3.2,124.94,No,330
2026-05-19,353,4.5,119.14,No,169
2026-05-20,261,4.4,164.1,No,132
2026-05-21,323,5.6,152.89,No,259
2026-05-22,157,3.5,364.05,No,119
2026-05-23,193,3.8,320.28,Yes,140
2026-05-24,233,4.4,129.49,Yes,223
2026-05-25,214,2.4,170.82,No,84
2026-05-26,332,3.8,278.48,No,254
2026-05-27,333,2.6,335.5,No,140
2026-05-28,153,3.2,360.99,No,138
2026-05-29,313,3.2,301.63,No,265
2026-05-30,352,5.1,182.65,Yes,238
2026-05-31,440,4.0,356.65,Yes,72
2026-06-01,153,3.8,281.25,No,142
2026-06-02,400,2.9,334.96,No,67
2026-06-03,444,5.1,385.76,No,120
2026-06-04,137,4.5,283.23,No,98
2026-06-05,320,4.9,214.68,No,105
2026-06-06,139,4.0,247.24,Yes,92
2026-06-07,461,4.0,340.8,Yes,379
2026-06-08,399,5.6,212.42,No,310
2026-06-09,262,2.4,272.82,No,228
2026-06-10,203,5.3,223.9,No,79
2026-06-11,467,4.0,239.7,No,81
2026-06-12,300,4.1,107.8,No,116
2026-06-13,323,4.6,206.22,Yes,212
2026-06-14,411,5.7,106.02,Yes,212
2026-06-15,403,4.3,200.04,No,295
2026-06-16,170,4.0,362.91,No,78
2026-06-17,363,2.9,351.13,No,200
2026-06-18,128,3.9,346.37,No,91
2026-06-19,457,4.0,315.31,No,229
2026-06-20,207,3.5,192.32,Yes,126
2026-06-21,356,4.0,307.85,Yes,211
2026-06-22,210,2.5,100.74,No,204
2026-06-23,154,4.8,289.62,No,63
2026-06-24,291,5.3,127.95,No,260
2026-06-25,226,3.6,166.44,No,104
2026-06-26,357,3.9,248.88,No,187
2026-06-27,222,3.3,398.86,Yes,117
2026-06-28,173,3.6,300.32,Yes,78
2026-06-29,460,3.4,132.51,No,138
2026-06-30,131,2.5,341.15,No,60
2026-07-01,498,3.2,316.38,No,182
2026-07-02,486,2.4,237.56,No,383
2026-07-03,277,4.6,107.17,No,145
2026-07-04,307,3.2,290.02,Yes,115
2026-07-05,239,2.7,206.64,Yes,91
2026-07-06,212,5.8,392.81,No,87
2026-07-07,289,2.3,104.38,No,276
2026-07-08,433,5.7,120.01,No,64
2026-07-09,446,3.3,111.74,No,435
2026-07-10,352,5.0,370.39,No,181
2026-07-11,254,4.1,121.47,Yes,254
2026-07-12,337,4.7,367.88,Yes,337
2026-07-13,318,3.5,278.36,No,191
2026-07-14,165,2.7,291.92,No,122
2026-07-15,474,3.6,243.12,No,101
2026-07-16,442,3.0,100.37,No,356
2026-07-17,260,3.3,281.57,No,88
2026-07-18,469,4.0,194.13,Yes,267
2026-07-19,451,2.6,219.42,Yes,364
